"fct_ref","fct_citation","fct_location","fct_year","fct_desc","count","study_id","fct_id","ISO3","ISO2","NAME_ISO","NAME_FAO","NAME_LOCAL","SOVEREIGN","UNREGION1","UNREGION2","continent","fct_source"
"Nordeide, 1997","Nordeide MB. Table de Composition d'Aliments du Mali.Annex No. 9. Rapport d'Etape SeÂcuriteÂ Alimentaire/Femme. Projet de Recherche SSE. Environnement et DeÂveloppement au Mali. Oslo: CNRST/UniversiteÂ d'Oslo, 1997.","Mali",1997,"Mali FCT, 1997",2,"S0081;S0100","SF042","MLI","ML","MALI","Mali","Mali","Mali","Western Africa","Africa","Africa",NA
"Mali FCT, 1995",NA,"Mali",1995,"The Composition of Malian Foods - M B Nordeide, CNRST, Programme de Recherche SSE - Bamako, Mali & Nordic School of Nutrition, University of Oslo, Norway 1995 Draft (English)",1,NA,"I0031","MLI","ML","MALI","Mali","Mali","Mali","Western Africa","Africa","Africa","infoods"
"Mali FCT, 1998",NA,"Mali",1998,"Table de composition d'aliments du Mali - M B Nordeide, Projet de Recherche SSE, Environnement et Developpement au Mali, Mali/Norvege 1998 (French)",1,NA,"I0030","MLI","ML","MALI","Mali","Mali","Mali","Western Africa","Africa","Africa","infoods"
"Korkalo et al., 2011","Korkalo L, Hauta-alus H, Mutanen M. Food Composition Tables for Mozambique. Helsinki, Finland; 2011","Mozambique",2011,"Mozambique FCT, 2011",6,"S0182;S0192;S0219;S0221;S0241;S0250","SF023","MOZ","MZ","MOZAMBIQUE","Mozambique","Mocambique","Mozambique","Eastern Africa","Africa","Africa",NA
"Mozambique FCT, 2011",NA,"Mozambique",2011,"Food composition database for Mozambique, Version 2 (2011) Korkalo L, Hauta-alus H, Mutanen M - Department of Food and Environmental Sciences. University of Helsinki, Finland. The table includes 205 foods and 35 nutrients Actual and Recommended Diet Make-up for the Population of Mozambique, including Food Composition Table; University of Helsinki, Department of Food and Environmental Sciences - Food Composition Table for Mozambique",2,NA,"I0032; L0005","MOZ","MZ","MOZAMBIQUE","Mozambique","Mocambique","Mozambique","Eastern Africa","Africa","Africa","infoods; langual"
"Mozambique FCT, 1985",NA,"Mozambique",1985,"Actual and Recommended Diet Make-up for the Population of Mozambique, including Food Composition Table - FL Snijders - Série Terra e Água do Instituto Nacional de Investigação - Agronómica, Documento Interno No 10, Maputo 1985 16 pp (English)",1,NA,"I0033","MOZ","MZ","MOZAMBIQUE","Mozambique","Mocambique","Mozambique","Eastern Africa","Africa","Africa","infoods"
"Oguntona and Akinyele, 1995","Oguntona, E.B., Akinyele, I.O., 1995. Nutrient Composition of Commonly Eaten Foods in Nigeria—Raw, Processed and Prepared. Food Basket Foundation Publication Series, Nigeria, 131pp","Nigeria",1995,"Nigeria FCT, 1995",6,"S0100;S0111;S0120;S0136;S0154;S0155","SF045","NGA","NG","NIGERIA","Nigeria","Nigeria","Nigeria","Western Africa","Africa","Africa",NA
"Osagie and Eka, 1998","Osagie, A.U., Eka, O.U. (Eds.), 1998. Nutritional Quality of Plants. Post Harvest Research Unit, University of Benin, Benin City.","Nigeria",1998,"Nigeria FCT, 1998",1,"S0111","SF046","NGA","NG","NIGERIA","Nigeria","Nigeria","Nigeria","Western Africa","Africa","Africa",NA
"Oyenuga, 1968","Oyenuga, V.A.(1968). Nigeria’s Foods and Feeding Stuff: Their Chemistry and Nutritive Values (p. 99),Ibadan University Press,Ibadan.","Nigeria",1968,"Nigeria FCT, 1968",1,"S0154","SF047","NGA","NG","NIGERIA","Nigeria","Nigeria","Nigeria","Western Africa","Africa","Africa",NA
"Nigeria FCT, 2019",NA,"Nigeria",2019,"Nigeria Food Database 2019; Nigeria Food Database",2,NA,"I0034; L0006","NGA","NG","NIGERIA","Nigeria","Nigeria","Nigeria","Western Africa","Africa","Africa","infoods; langual"
"Nigeria FCT, 1968",NA,"Nigeria",1968,"Nigerian Foods and Feedingstuffs - VA Oyenuya University Press, Ivadan 1968 (English)",1,NA,"I0036","NGA","NG","NIGERIA","Nigeria","Nigeria","Nigeria","Western Africa","Africa","Africa","infoods"
"Nigeria FCT, 1995",NA,"Nigeria",1995,"Nutrient Composition of Commonly Eaten Foods in Nigeria - Raw, processed and prepared-1995 131 pp (English) - EB Oguntona & IO Akinyele - Food Basket Foundation Publication Series 1995 131 pp (English). Contact: Executive Chairman, Food Basket Foundation International, 46 Ondo Street, Old Bodija Estate, Ibadan, Oyo State Nigeria",1,NA,"I0035","NGA","NG","NIGERIA","Nigeria","Nigeria","Nigeria","Western Africa","Africa","Africa","infoods"
"Yoo et al., 2019","Yoo, Y.M., Atkin, R.A., Pachón, H., 2019. Short Communication: Development of a food composition table to analyze Senegalese food expenditure data. African Journal of Food, Agriculture, Nutrition and Development 19.","Senegal",2019,"Senegal NCT, 2019,",1,"S0235","SF071","SEN","SN","SENEGAL","Senegal","Senegal","Senegal","Western Africa","Africa","Africa",NA
"Senegal FCT, 1961",NA,"Senegal",1961,"Chemical Composition of 66 Samples of Leaves, Fruits, Seeds and Tubercles Eaten in Senegal -Qualitas Plantarum et Materiae, Vol 8, No 2, pp 139-155, The Hague, Netherlands 16 pp (English) (1961)",1,NA,"I0037","SEN","SN","SENEGAL","Senegal","Senegal","Senegal","Western Africa","Africa","Africa","infoods"
"Gouws and Langenhoven, 1981","Gouws E, Langenhoven ML. NRIND Food Composilion Tables 1981. Parow, CP: South African Medical Research Council, 1982","South Africa",1987,"South Africa, 1987",1,"S0031","SF017","ZAF","ZA","SOUTH AFRICA","South Africa","South Africa","South Africa","Southern Africa","Africa","Africa",NA
"Langenhoven, et al., 1991","Langenhoven, M., Kruger, M., Gows, E., Faber, M., 1991. MRC Food Composition Tables, 3rd Edition. Medical ResearchCouncil, Tygerberg, SouthAfrica","South Africa",1993,"South Africa, 1993",1,"S0093","SF026","ZAF","ZA","SOUTH AFRICA","South Africa","South Africa","South Africa","Southern Africa","Africa","Africa",NA
"Mamvul-a, 1982","Mamvul'a, C.B., (1982), Shona Foods Composition Tables, Salisbury, Longmans (in print).","South Africa",1982,"Shona FCT, 1982",1,"S0026","SF029","ZAF","ZA","SOUTH AFRICA","South Africa","South Africa","South Africa","Southern Africa","Africa","Africa",NA
"NA","NA","South Africa",2003,"MRC Food Composition Tables of South Africa, 2003",1,"S0093","SF037","ZAF","ZA","SOUTH AFRICA","South Africa","South Africa","South Africa","Southern Africa","Africa","Africa",NA
